nodeid,event,service,time
0,sent,/prefix/seq=208,10.400000000
0,received,/prefix/seq=201,10.428965922
0,sent,/prefix/seq=209,10.450000000
0,received,/prefix/seq=203,10.487031232
0,sent,/prefix/seq=210,10.500000000
0,received,/prefix/seq=202,10.520853531
0,sent,/prefix/seq=211,10.550000000
0,received,/prefix/seq=204,10.578811996
0,sent,/prefix/seq=212,10.600000000
0,received,/prefix/seq=205,10.629162057
0,sent,/prefix/seq=213,10.650000000
0,received,/prefix/seq=207,10.687303263
0,sent,/prefix/seq=214,10.700000000
0,received,/prefix/seq=206,10.720804866
0,sent,/prefix/seq=215,10.750000000
0,received,/prefix/seq=208,10.779175426
0,sent,/prefix/seq=216,10.800000000
0,received,/prefix/seq=209,10.828798772
0,sent,/prefix/seq=217,10.850000000
0,received,/prefix/seq=211,10.886993672
0,sent,/prefix/seq=218,10.900000000
0,received,/prefix/seq=210,10.920573801
0,sent,/prefix/seq=219,10.950000000
0,received,/prefix/seq=212,10.978747380
0,sent,/prefix/seq=220,11.000000000
0,received,/prefix/seq=213,11.028915985
0,sent,/prefix/seq=221,11.050000000
0,received,/prefix/seq=215,11.086816470
0,sent,/prefix/seq=222,11.100000000
0,received,/prefix/seq=214,11.120287392
0,sent,/prefix/seq=223,11.150000000
0,received,/prefix/seq=216,11.178434007
0,sent,/prefix/seq=224,11.200000000
0,received,/prefix/seq=217,11.229023169
0,sent,/prefix/seq=225,11.250000000
0,received,/prefix/seq=219,11.286946583
0,sent,/prefix/seq=226,11.300000000
0,received,/prefix/seq=218,11.320578738
0,sent,/prefix/seq=227,11.350000000
0,received,/prefix/seq=220,11.378799601
0,sent,/prefix/seq=228,11.400000000
0,received,/prefix/seq=221,11.428673845
0,sent,/prefix/seq=229,11.450000000
0,received,/prefix/seq=223,11.486807126
0,sent,/prefix/seq=230,11.500000000
0,received,/prefix/seq=222,11.520405560
0,sent,/prefix/seq=231,11.550000000
0,received,/prefix/seq=224,11.578486873
0,sent,/prefix/seq=232,11.600000000
0,received,/prefix/seq=225,11.629184623
0,sent,/prefix/seq=233,11.650000000
0,received,/prefix/seq=227,11.687143331
0,sent,/prefix/seq=234,11.700000000
0,received,/prefix/seq=226,11.720740914
0,sent,/prefix/seq=235,11.750000000
0,received,/prefix/seq=228,11.778430714
0,sent,/prefix/seq=236,11.800000000
0,received,/prefix/seq=229,11.829201986
0,sent,/prefix/seq=237,11.850000000
0,received,/prefix/seq=231,11.887253329
0,sent,/prefix/seq=238,11.900000000
0,received,/prefix/seq=230,11.920514830
0,sent,/prefix/seq=239,11.950000000
0,received,/prefix/seq=232,11.978961242
0,sent,/prefix/seq=240,12.000000000
0,received,/prefix/seq=233,12.028828360
0,sent,/prefix/seq=241,12.050000000
0,received,/prefix/seq=235,12.086899904
0,sent,/prefix/seq=242,12.100000000
0,received,/prefix/seq=234,12.120077894
0,sent,/prefix/seq=243,12.150000000
0,received,/prefix/seq=236,12.178783750
0,sent,/prefix/seq=244,12.200000000
0,received,/prefix/seq=237,12.229142760
0,sent,/prefix/seq=245,12.250000000
0,received,/prefix/seq=239,12.287085843
0,sent,/prefix/seq=246,12.300000000
0,received,/prefix/seq=238,12.320796501
0,sent,/prefix/seq=247,12.350000000
0,received,/prefix/seq=240,12.378734865
0,sent,/prefix/seq=248,12.400000000
0,received,/prefix/seq=241,12.428830302
0,sent,/prefix/seq=249,12.450000000
0,received,/prefix/seq=243,12.487408911
0,sent,/prefix/seq=250,12.500000000
0,received,/prefix/seq=242,12.520672849
0,sent,/prefix/seq=251,12.550000000
0,received,/prefix/seq=244,12.578539620
0,sent,/prefix/seq=252,12.600000000
0,received,/prefix/seq=245,12.628420241
0,sent,/prefix/seq=253,12.650000000
0,received,/prefix/seq=247,12.686900293
0,sent,/prefix/seq=254,12.700000000
0,received,/prefix/seq=246,12.720818714
0,sent,/prefix/seq=255,12.750000000
0,received,/prefix/seq=248,12.779036744
0,sent,/prefix/seq=256,12.800000000
0,received,/prefix/seq=249,12.828857453
0,sent,/prefix/seq=257,12.850000000
0,received,/prefix/seq=251,12.886963011
0,sent,/prefix/seq=258,12.900000000
0,received,/prefix/seq=250,12.920440210
0,sent,/prefix/seq=259,12.950000000
0,received,/prefix/seq=252,12.979124631
0,sent,/prefix/seq=260,13.000000000
0,received,/prefix/seq=253,13.029105770
0,sent,/prefix/seq=261,13.050000000
0,received,/prefix/seq=255,13.087538171
0,sent,/prefix/seq=262,13.100000000
0,received,/prefix/seq=254,13.120363471
0,sent,/prefix/seq=263,13.150000000
0,received,/prefix/seq=256,13.179131727
0,sent,/prefix/seq=264,13.200000000
0,received,/prefix/seq=257,13.228612385
0,sent,/prefix/seq=265,13.250000000
0,received,/prefix/seq=259,13.287489107
0,sent,/prefix/seq=266,13.300000000
0,received,/prefix/seq=258,13.320522835
0,sent,/prefix/seq=267,13.350000000
0,received,/prefix/seq=260,13.378607704
0,sent,/prefix/seq=268,13.400000000
0,received,/prefix/seq=261,13.428497665
0,sent,/prefix/seq=269,13.450000000
0,received,/prefix/seq=263,13.487495613
0,sent,/prefix/seq=270,13.500000000
0,received,/prefix/seq=262,13.520535769
0,sent,/prefix/seq=271,13.550000000
0,received,/prefix/seq=264,13.578919358
0,sent,/prefix/seq=272,13.600000000
0,received,/prefix/seq=265,13.628873663
0,sent,/prefix/seq=273,13.650000000
0,received,/prefix/seq=267,13.686829776
0,sent,/prefix/seq=274,13.700000000
0,received,/prefix/seq=266,13.720188850
0,sent,/prefix/seq=275,13.750000000
0,received,/prefix/seq=268,13.778809757
0,sent,/prefix/seq=276,13.800000000
0,received,/prefix/seq=269,13.829245351
0,sent,/prefix/seq=277,13.850000000
0,received,/prefix/seq=271,13.887471288
0,sent,/prefix/seq=278,13.900000000
0,received,/prefix/seq=270,13.920508952
0,sent,/prefix/seq=279,13.950000000
0,received,/prefix/seq=272,13.978868985
0,sent,/prefix/seq=280,14.000000000
0,received,/prefix/seq=273,14.028641801
0,sent,/prefix/seq=281,14.050000000
0,received,/prefix/seq=275,14.087335272
0,sent,/prefix/seq=282,14.100000000
0,received,/prefix/seq=274,14.120673533
0,sent,/prefix/seq=283,14.150000000
0,received,/prefix/seq=276,14.178655376
0,sent,/prefix/seq=284,14.200000000
0,received,/prefix/seq=277,14.228952247
0,sent,/prefix/seq=285,14.250000000
0,received,/prefix/seq=279,14.286818786
0,sent,/prefix/seq=286,14.300000000
0,received,/prefix/seq=278,14.320828898
0,sent,/prefix/seq=287,14.350000000
0,received,/prefix/seq=280,14.378603033
0,sent,/prefix/seq=288,14.400000000
0,received,/prefix/seq=281,14.428729108
0,sent,/prefix/seq=289,14.450000000
0,received,/prefix/seq=283,14.486854331
0,sent,/prefix/seq=290,14.500000000
0,received,/prefix/seq=282,14.520375131
0,sent,/prefix/seq=291,14.550000000
0,received,/prefix/seq=284,14.578628211
0,sent,/prefix/seq=292,14.600000000
0,received,/prefix/seq=285,14.628998602
0,sent,/prefix/seq=293,14.650000000
0,received,/prefix/seq=287,14.686838604
0,sent,/prefix/seq=294,14.700000000
0,received,/prefix/seq=286,14.720185835
0,sent,/prefix/seq=295,14.750000000
0,received,/prefix/seq=288,14.779156320
0,sent,/prefix/seq=296,14.800000000
0,received,/prefix/seq=289,14.828920670
0,sent,/prefix/seq=297,14.850000000
0,received,/prefix/seq=291,14.886842691
0,sent,/prefix/seq=298,14.900000000
0,received,/prefix/seq=290,14.920873045
0,sent,/prefix/seq=299,14.950000000
0,received,/prefix/seq=292,14.978963668
0,sent,/prefix/seq=300,15.000000000
0,received,/prefix/seq=293,15.028820814
0,sent,/prefix/seq=301,15.050000000
0,received,/prefix/seq=295,15.086961693
0,sent,/prefix/seq=302,15.100000000
0,received,/prefix/seq=294,15.120883637
0,sent,/prefix/seq=303,15.150000000
0,received,/prefix/seq=296,15.179239810
0,sent,/prefix/seq=304,15.200000000
0,received,/prefix/seq=297,15.228484487
0,sent,/prefix/seq=305,15.250000000
0,received,/prefix/seq=299,15.287128233
0,sent,/prefix/seq=306,15.300000000
0,received,/prefix/seq=298,15.320336802
0,sent,/prefix/seq=307,15.350000000
0,received,/prefix/seq=300,15.378475170
0,sent,/prefix/seq=308,15.400000000
0,received,/prefix/seq=301,15.429057754
0,sent,/prefix/seq=309,15.450000000
0,received,/prefix/seq=303,15.487222823
0,sent,/prefix/seq=310,15.500000000
0,received,/prefix/seq=302,15.520344855
0,sent,/prefix/seq=311,15.550000000
0,received,/prefix/seq=304,15.579244888
0,sent,/prefix/seq=312,15.600000000
0,received,/prefix/seq=305,15.629230388
0,sent,/prefix/seq=313,15.650000000
0,received,/prefix/seq=307,15.686978931
0,sent,/prefix/seq=314,15.700000000
0,received,/prefix/seq=306,15.720303428
0,sent,/prefix/seq=315,15.750000000
0,received,/prefix/seq=308,15.778927968
0,sent,/prefix/seq=316,15.800000000
0,received,/prefix/seq=309,15.828544326
0,sent,/prefix/seq=317,15.850000000
0,received,/prefix/seq=311,15.887409668
0,sent,/prefix/seq=318,15.900000000
0,received,/prefix/seq=310,15.920343051
0,sent,/prefix/seq=319,15.950000000
0,received,/prefix/seq=312,15.978818767
0,sent,/prefix/seq=320,16.000000000
0,received,/prefix/seq=313,16.028930182
0,sent,/prefix/seq=321,16.050000000
0,received,/prefix/seq=315,16.087325645
0,sent,/prefix/seq=322,16.100000000
0,received,/prefix/seq=314,16.120809332
0,sent,/prefix/seq=323,16.150000000
0,received,/prefix/seq=316,16.178674117
0,sent,/prefix/seq=324,16.200000000
0,received,/prefix/seq=317,16.229207167
0,sent,/prefix/seq=325,16.250000000
0,received,/prefix/seq=319,16.286909103
0,sent,/prefix/seq=326,16.300000000
0,received,/prefix/seq=318,16.320709583
0,sent,/prefix/seq=327,16.350000000
0,received,/prefix/seq=320,16.378873170
0,sent,/prefix/seq=328,16.400000000
0,received,/prefix/seq=321,16.428994627
0,sent,/prefix/seq=329,16.450000000
0,received,/prefix/seq=323,16.486915504
0,sent,/prefix/seq=330,16.500000000
0,received,/prefix/seq=322,16.520297127
0,sent,/prefix/seq=331,16.550000000
0,received,/prefix/seq=324,16.578560774
0,sent,/prefix/seq=332,16.600000000
0,received,/prefix/seq=325,16.628592763
0,sent,/prefix/seq=333,16.650000000
0,received,/prefix/seq=327,16.686879251
0,sent,/prefix/seq=334,16.700000000
0,received,/prefix/seq=326,16.720422531
0,sent,/prefix/seq=335,16.750000000
0,received,/prefix/seq=328,16.778622583
0,sent,/prefix/seq=336,16.800000000
0,received,/prefix/seq=329,16.828971332
0,sent,/prefix/seq=337,16.850000000
0,received,/prefix/seq=331,16.886976420
0,sent,/prefix/seq=338,16.900000000
0,received,/prefix/seq=330,16.920552818
0,sent,/prefix/seq=339,16.950000000
0,received,/prefix/seq=332,16.978774420
0,sent,/prefix/seq=340,17.000000000
0,received,/prefix/seq=333,17.029109672
0,sent,/prefix/seq=341,17.050000000
0,received,/prefix/seq=335,17.087097975
0,sent,/prefix/seq=342,17.100000000
0,received,/prefix/seq=334,17.120744576
0,sent,/prefix/seq=343,17.150000000
