nodeid,service,serviceCount,status,time
8,,1,Current Resource,3.120000000
7,/prefix/seq=62,18,Data Processing,3.130816000
7,0.250692,18,Computation time,3.130816000
6,/prefix/seq=57,18,Data Correction,3.131299509
6,,18,Current Resource,3.140000000
7,,18,Current Resource,3.140000000
8,,1,Current Resource,3.140000000
6,,18,Current Resource,3.160000000
7,,18,Current Resource,3.160000000
8,,1,Current Resource,3.160000000
6,,18,Current Resource,3.180000000
7,,18,Current Resource,3.180000000
8,,1,Current Resource,3.180000000
8,/prefix/seq=63,0,Data Processing,3.180816000
8,1.000676,0,Computation time,3.180816000
6,,18,Current Resource,3.200000000
7,,18,Current Resource,3.200000000
8,,0,Current Resource,3.200000000
6,,18,Current Resource,3.220000000
7,,18,Current Resource,3.220000000
8,,0,Current Resource,3.220000000
6,/prefix/seq=58,19,Data Correction,3.223237529
6,/prefix/seq=64,18,Data Processing,3.230816000
6,0.250269,18,Computation time,3.230816000
7,/prefix/seq=59,19,Data Correction,3.231458214
6,,18,Current Resource,3.240000000
7,,19,Current Resource,3.240000000
8,,0,Current Resource,3.240000000
6,,18,Current Resource,3.260000000
7,,19,Current Resource,3.260000000
8,,0,Current Resource,3.260000000
6,,18,Current Resource,3.280000000
7,,19,Current Resource,3.280000000
8,,0,Current Resource,3.280000000
7,/prefix/seq=65,18,Data Processing,3.280816000
7,0.250103,18,Computation time,3.280816000
8,/prefix/seq=45,1,Data Correction,3.280953884
6,,18,Current Resource,3.300000000
7,,18,Current Resource,3.300000000
8,,1,Current Resource,3.300000000
6,,18,Current Resource,3.320000000
7,,18,Current Resource,3.320000000
8,,1,Current Resource,3.320000000
6,/prefix/seq=66,17,Data Processing,3.330816000
6,0.292093,17,Computation time,3.330816000
6,,17,Current Resource,3.340000000
7,,18,Current Resource,3.340000000
8,,1,Current Resource,3.340000000
6,,17,Current Resource,3.360000000
7,,18,Current Resource,3.360000000
8,,1,Current Resource,3.360000000
6,/prefix/seq=61,18,Data Correction,3.373302850
